,num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends
86,86,The Guardians,682,6,4,0,89,04/05/2018,13,3.9,0.0,0,,0,
178,178,Minecraft: The Story of Mojang,682,1,3,0,98,24/05/2019,17,7.2,0.0,0,,0,
453,453,$9.99 ,4,6,7,1,78,12/12/2008,1,6.8,57100.0,1,,0,
465,465,11/11/2011,17,1,8,1,90,11/11/2011,1,4.0,0.0,0,46200.0,1,
466,466,11/08/2016,682,1,3,1,104,03/11/2017,1,6.3,0.0,0,,0,
472,472,12/12/2012,2,1,3,1,105,15/11/2013,1,5.0,0.0,0,,0,
512,512,02:22,3,1,4,1,98,30/06/2017,1,5.7,31500.0,1,,0,
683,683,On Chesil Beach,682,2,1,1,105,15/06/2018,1,7.8,20800.0,1,,0,
862,862,Black Panther,682,1,7,1,0,16/02/2018,1,7.4,78200.0,1,,0,
892,892,Brain Blockers,682,1,2,1,82,06/04/2018,1,5.8,0.0,0,,0,
1143,1143,Chappaquiddick,682,1,6,1,107,06/04/2018,1,6.5,32200.0,1,2500.0,1,
1405,1405,Holmes & Watson. Madrid Days,682,6,1,1,129,09/11/2018,4,4.3,0.0,0,,0,
1901,1901,Alpha,682,6,5,1,0,02/03/2018,4,6.0,0.0,0,,0,
2043,2043,Thoroughbreds,682,1,1,1,90,09/03/2018,1,7.4,54400.0,1,,0,
2050,2050,Three Seconds,682,6,4,1,0,17/08/2018,72,7.2,0.0,0,,0,
2342,2342,Foxtrot,682,6,1,1,108,02/03/2018,9,7.6,0.0,0,,0,
2454,2454,Disobedience,682,1,1,1,114,27/04/2018,72,7.2,51400.0,1,,0,
2465,2465,Widows,682,6,1,1,100,16/11/2018,4,6.3,0.0,0,,0,
2546,2546,Isle of Dogs,682,2,4,1,90,23/03/2018,1,3.8,0.0,0,,0,
2987,2987,The Jewish Cardinal,7,3,6,0,96,10/01/2014,2,6.4,0.0,0,,0,
2988,2988,Jews of Egypt,2,6,3,1,0,28/03/2014,11,7.9,0.0,0,,0,
2993,2993,Praying with Lior,4,2,3,0,87,01/02/2008,1,7.5,0.0,0,,0,
3008,3008,The Price of Sugar,1,1,3,0,90,28/09/2007,1,7.4,54100.0,1,,0,
3019,3019,The Princess of France,1,6,2,0,67,26/06/2015,4,5.9,0.0,0,,0,
3025,3025,Prodigal Sons,11,1,3,0,86,26/02/2010,1,7.2,0.0,0,,0,
3026,3026,The Professor: Tai Chi's Journey West,1,1,3,1,0,06/05/2016,1,7.2,0.0,0,,0,
3027,3027,Programming the Nation?,1,1,3,1,105,19/08/2011,1,7.0,0.0,0,,0,
3029,3029,Project Itoh: Harmony,47,6,7,1,119,17/05/2016,72,6.8,0.0,0,,0,
3036,3036,The Prophet's Son,1,1,1,1,97,29/09/2012,1,4.9,0.0,0,,0,
3038,3038,The Protagonist,3,2,11,1,15,30/11/2007,1,7.2,0.0,0,,0,
3041,3041,The Providence Effect,14,1,3,1,92,25/09/2009,1,8.3,0.0,0,,0,
3042,3042,The Pruitt-Igoe Myth,6,1,3,0,79,20/01/2012,1,7.5,0.0,0,,0,
3044,3044,Aferim!,8,6,9,1,108,22/01/2016,18,7.7,0.0,0,,0,
3045,3045,The Afflicted,13,1,8,0,85,21/10/2011,1,4.7,0.0,0,,0,
3052,3052,After the Cup: Sons of Sakhnin United,3,1,3,1,84,21/05/2010,1,6.9,0.0,0,,0,
3070,3070,Phantom Boy,17,3,7,1,84,15/07/2016,2,6.6,0.0,0,,0,
3074,3074,Phil Ochs: There But for Fortune,13,1,3,0,96,05/01/2011,1,7.6,0.0,0,,0,
3082,3082,Pickin' & Grinnin',1,1,2,1,108,07/09/2012,1,6.3,0.0,0,,0,
3093,3093,"Pink Ribbons, Inc.",4,5,3,0,97,01/06/2012,1,7.3,0.0,0,,0,
3101,3101,The Pirates Who Don't Do Anything: A VeggieTales Movie,1340,1,7,1,85,11/01/2008,1,5.7,0.0,0,,0,
3102,3102,The Pirates! Band of Misfits,3358,2,7,1,88,27/04/2012,1,6.7,62633.333329999994,1,68900.0,1,
3110,3110,Glass: A Portrait of Philip in Twelve Parts,1,6,3,0,119,18/04/2008,1,7.4,0.0,0,25600.0,1,
3113,3113,Glen Campbell: I'll Be Me,18,1,3,1,116,24/10/2014,1,8.0,0.0,0,145.0,1,
3135,3135,Gogol Bordello Non-Stop,1,1,3,1,90,11/09/2009,13,7.6,0.0,0,,0,
