num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,googletrends,Average Gross for each movie,if_average_gross
0,Keanu,2681,1,4,1,100,29/04/2016,1,6.3,55700,1,642,,0
1,Kedi,130,6,3,0,79,10/02/2017,29,7.8,0,0,999,,0
2,Keep on Keepin' On,9,1,3,1,84,19/09/2014,1,7.7,0,0,209,,0
3,Keep Quiet,3,2,3,1,90,17/02/2017,1,6.5,0,0,398,,0
4,Keep the Lights On,10,1,1,0,101,07/09/2012,1,6.2,0,0,743,,0
5,Keep Watching,805,1,8,1,89,31/10/2017,1,5.6,40750,1,775,,0
6,The Keeping Room,10,1,1,1,95,25/09/2015,1,6,21250,1,1701,,0
7,Keeping Up with the Joneses,3022,1,4,1,105,21/10/2016,5,5.8,66833.33333,1,442,38400,1
8,Keith Lemon: The Film,682,2,2,1,85,24/08/2012,1,2.6,0,0,1066,,0
9,Kelly & Cal,6,1,2,1,111,05/09/2014,1,6.2,0,0,342,,0
10,Kevin Hart: Laugh at My Pain,287,1,3,1,89,09/09/2011,1,7.5,61850,1,316,,0
11,Kevin Hart: Let Me Explain,892,1,3,1,75,03/07/2013,1,6.8,69000,1,526,,0
12,Kevin Hart: What Now?,2567,1,3,1,96,14/10/2016,1,5.8,72633.33333,1,0,,0
13,Keyhole,7,5,1,1,94,06/04/2012,1,5.5,0,0,702,,0
14,Khatta Meetha,83,4,4,1,157,23/07/2010,3,5.7,0,0,759,,0
15,Khiladi 786,115,4,4,0,141,07/12/2012,3,4.4,0,0,996,,0
16,Khodorkovsky,2,6,3,0,111,30/11/2011,13,7,0,0,612,,0
17,Khoobsurat,61,4,2,1,130,19/09/2014,3,6.4,0,0,622,,0
18,Khumba,2,6,7,0,85,06/12/2013,1,5.7,0,0,0,,0
19,Khushiyaan,26,4,16,1,135,14/10/2011,31,6.9,0,0,0,,0
20,Ki & Ka,148,4,2,1,126,01/04/2016,3,5.8,0,0,1194,,0
21,Kick,180,4,4,0,146,25/07/2014,3,5.5,0,0,1268,,0
22,Kick-Ass,3065,2,4,1,117,16/04/2010,1,7.7,0,0,909,77300,1
23,Kick-Ass 2,2945,1,4,1,103,16/08/2013,1,6.6,43200,1,1360,21200,1
24,Kickin' It Old Skool,1816,1,2,1,108,27/04/2007,1,4.6,0,0,1088,,0
25,Kicking It,2,1,3,0,98,13/06/2008,1,7.4,38600,1,0,,0
26,Kicks,65,1,9,1,80,09/09/2016,1,6.2,0,0,1124,,0
27,Kid Cannabis,1,1,6,0,110,18/04/2014,1,6.4,16100,1,416,16600,1
28,The Kid with a Bike,86,6,1,1,84,16/03/2012,2,7.4,0,0,498,,0
29,Kidnap,682,1,4,1,95,02/10/2008,1,5.9,64000,1,1042,,0
30,The Kidnapping of Michel Houellebecq,1,3,2,0,96,25/03/2015,2,6.8,0,0,342,,0
