num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,Total Gross
0,Keanu,2681,1,4,1,100,29/04/2016,1,6.3,55700,1,0,0,642,20591853
1,Kedi,130,6,3,0,79,10/02/2017,29,7.8,0,0,0,0,999,2833336
2,Keep on Keepin' On,9,1,3,1,84,19/09/2014,1,7.7,0,0,0,0,209,163745
3,Keep Quiet,3,2,3,1,90,17/02/2017,1,6.5,0,0,0,0,398,50451
4,Keep the Lights On,10,1,1,0,101,07/09/2012,1,6.2,0,0,0,0,743,246112
5,Keep Watching,805,1,8,1,89,31/10/2017,1,5.6,40750,1,0,0,775,94178
6,The Keeping Room,10,1,1,1,95,25/09/2015,1,6,21250,1,0,0,1701,27166
7,Keeping Up with the Joneses,3022,1,4,1,105,21/10/2016,5,5.8,66833.33333,1,38400,1,442,14904426
9,Kelly & Cal,6,1,2,1,111,05/09/2014,1,6.2,0,0,0,0,342,17702
10,Kevin Hart: Laugh at My Pain,287,1,3,1,89,09/09/2011,1,7.5,61850,1,0,0,316,7706436
11,Kevin Hart: Let Me Explain,892,1,3,1,75,03/07/2013,1,6.8,69000,1,0,0,526,32244051
12,Kevin Hart: What Now?,2567,1,3,1,96,14/10/2016,1,5.8,72633.33333,1,0,0,0,23591043
13,Keyhole,7,5,1,1,94,06/04/2012,1,5.5,0,0,0,0,702,22826
14,Khatta Meetha,83,4,4,1,157,23/07/2010,3,5.7,0,0,0,0,759,541904
15,Khiladi 786,115,4,4,0,141,07/12/2012,3,4.4,0,0,0,0,996,379466
16,Khodorkovsky,2,6,3,0,111,30/11/2011,13,7,0,0,0,0,612,39522
17,Khoobsurat,61,4,2,1,130,19/09/2014,3,6.4,0,0,0,0,622,710508
18,Khumba,2,6,7,0,85,06/12/2013,1,5.7,0,0,0,0,0,1029
20,Ki & Ka,148,4,2,1,126,01/04/2016,3,5.8,0,0,0,0,1194,857986
21,Kick,180,4,4,0,146,25/07/2014,3,5.5,0,0,0,0,1268,2472695
22,Kick-Ass,3065,2,4,1,117,16/04/2010,1,7.7,0,0,77300,1,909,48071303
23,Kick-Ass 2,2945,1,4,1,103,16/08/2013,1,6.6,43200,1,21200,1,1360,28795985
24,Kickin' It Old Skool,1816,1,2,1,108,27/04/2007,1,4.6,0,0,0,0,1088,4502604
25,Kicking It,2,1,3,0,98,13/06/2008,1,7.4,38600,1,0,0,0,13266
26,Kicks,65,1,9,1,80,09/09/2016,1,6.2,0,0,0,0,1124,150191
27,Kid Cannabis,1,1,6,0,110,18/04/2014,1,6.4,16100,1,16600,1,416,5565
28,The Kid with a Bike,86,6,1,1,84,16/03/2012,2,7.4,0,0,0,0,498,1470000
30,The Kidnapping of Michel Houellebecq,1,3,2,0,96,25/03/2015,2,6.8,0,0,0,0,342,11546
31,The Kids Are All Right,994,1,2,1,106,09/07/2010,1,7.1,38100,1,8800,1,523,20811365
32,Kids for Cash,12,1,3,1,102,07/02/2014,1,7.1,0,0,0,0,483,143178
33,The Kids Grow Up,1,1,3,0,90,29/10/2010,1,6.8,0,0,0,0,338,12095
34,"Kiki, Love to Love",3,6,2,0,102,11/11/2016,4,6.5,0,0,0,0,0,12450
36,Kill List,10,2,5,0,95,03/02/2012,1,6.4,0,0,0,0,1161,29063
37,Kill Me Three Times,16,1,4,1,90,10/04/2015,1,5.9,131000,1,0,0,700,24296
38,"Kill Me, Deadly",3,1,2,1,100,01/04/2016,1,7.4,0,0,0,0,0,36027
39,The Kill Team,2,1,3,1,79,25/07/2014,1,7.1,0,0,0,0,198,18983
40,Kill the Irishman,56,1,6,1,106,11/03/2011,1,7.1,51350,1,0,0,668,1188194
41,Kill the Messenger,427,1,6,1,112,10/10/2014,1,7,114500,1,8000,1,359,2450846
42,Kill Your Darlings,78,1,6,1,104,16/10/2013,1,6.5,94750,1,0,0,1215,1030064
44,Killer Elite,2986,2,4,1,116,23/09/2011,1,6.5,34100,1,25100,1,541,25124966
45,The Killer Inside Me,17,1,5,1,109,18/06/2010,1,6.1,36633.33333,1,1000,1,1461,217277
46,Killer Joe,75,1,5,1,102,27/07/2012,1,6.7,37450,1,33000,1,851,1987762
47,Killers,2859,1,4,1,100,04/06/2010,1,5.4,47000,1,60100,1,827,47059963
48,Killing Kasztner,5,1,3,1,120,23/10/2009,1,7.2,0,0,0,0,0,112313
49,The Killing of a Sacred Deer,238,2,1,1,121,20/10/2017,1,7.9,32500,1,0,0,1264,1083179
50,Killing Season,12,1,4,1,91,12/07/2013,1,5.4,53300,1,53900,1,448,39881
52,Killing Them Softly,2424,1,5,1,97,30/11/2012,1,6.2,64800,1,6400,1,607,15026056
53,Kills on Wheels,1,6,4,1,103,20/10/2017,26,7.4,0,0,0,0,186,15668
54,Killshot,5,1,5,1,95,23/01/2009,1,6,26466.66667,1,23400,1,913,18643
55,Kilo Two Bravo,11,2,9,1,108,13/11/2015,1,7.1,0,0,0,0,804,7891
56,A Kind of Murder,3,1,5,1,95,16/12/2016,1,5.2,35700,1,0,0,580,2915
57,The Kind Words,8,6,1,0,118,24/06/2016,2,6.7,0,0,0,0,0,135382
58,The Kindergarten Teacher,4,6,1,0,119,31/07/2015,9,6.6,0,0,0,0,139,36190
59,King Arthur: Legend of the Sword,3702,1,4,1,126,12/05/2017,1,6.9,41800,1,57900,1,619,39175066
60,King Cobra,17,1,5,0,91,21/10/2016,1,5.6,0,0,0,0,530,74712
61,King Corn,8,1,3,0,88,12/10/2007,1,7.1,0,0,0,0,469,105422
62,King Georges,10,1,3,0,77,26/02/2016,1,6.9,0,0,0,0,501,51663
63,King of California,28,1,2,1,93,14/09/2007,1,6.7,49400,1,1300,1,392,268461
64,King of Devil's Island,2,6,4,0,116,18/11/2011,14,7.5,0,0,0,0,0,7615
65,The King of Kong: A Fistful of Quarters,58,1,3,1,79,17/08/2007,1,8.2,0,0,86200,1,0,677914
66,The King's Case Note,7,6,9,1,114,28/04/2017,7,6.5,0,0,0,0,0,90959
67,The King's Choice,10,6,6,1,133,22/09/2017,14,7.3,0,0,0,0,1142,109153
68,The King's Speech,2584,2,6,1,118,26/11/2010,1,8,57250,1,74800,1,458,1354531430
69,The Kingdom,2836,1,4,1,110,28/09/2007,1,7.1,54233.33333,1,75400,1,1137,47536778
70,Kings of Pastry,10,6,3,1,87,15/09/2010,1,6.9,0,0,0,0,345,336386
71,The Kings of Summer,65,1,9,1,95,31/05/2013,1,7.2,0,0,84700,1,1091,1315590
72,Kings of the Evening,5,1,1,1,99,11/06/2010,1,6,0,0,0,0,100,99270
73,Kingsglaive: Final Fantasy XV,26,6,7,1,110,19/08/2016,1,6.9,39100,1,0,0,926,269980
74,Kingsman: The Golden Circle,4038,2,4,1,141,22/09/2017,1,7.2,86000,1,77300,1,594,99121408
75,Kingsman: The Secret Service,3282,2,4,1,129,13/02/2015,1,7.7,35150,1,77300,1,724,128261724
76,Kinyarwanda,9,1,1,0,100,02/12/2011,1,6.7,0,0,0,0,609,35412
77,Kismat Konnection,62,4,2,1,153,18/07/2008,3,5.2,0,0,0,0,641,490154
78,Kiss of the Damned,7,1,1,1,97,03/05/2013,1,5.6,0,0,0,0,1031,14752
79,Kiss the Bride,5,1,2,1,100,18/04/2008,1,5.8,0,0,0,0,0,32033
80,Kisses,11,6,1,1,72,16/07/2010,1,7.3,0,0,0,0,993,81680
81,Kit Kittredge: An American Girl,1849,1,1,1,101,20/06/2008,1,6.6,55200,1,0,0,100,17657973
82,The Kitchen,2,1,2,1,80,08/03/2013,1,5,0,0,0,0,966,4054
83,The Kite Runner,715,1,1,1,128,14/12/2007,68,7.6,0,0,57200,1,849,15800078
84,Kites,207,4,4,0,123,21/05/2010,1,6.1,0,0,0,0,991,16434860
85,The Guard,203,6,2,1,96,29/07/2011,1,7.3,0,0,4500,1,996,5360274
87,Guardians of the Galaxy,4088,1,4,1,121,01/08/2014,1,8.1,116600,1,182800,1,603,333176600
88,Guardians of the Galaxy Vol. 2,4347,1,4,1,136,05/05/2017,1,7.8,116600,1,182800,1,1036,389813101
89,Güeros,5,6,2,0,106,20/05/2015,4,7.5,0,0,0,0,509,60114
90,Guest of Cindy Sherman,1,1,3,1,88,27/03/2009,1,6.5,0,0,0,0,337,27052
91,Guidance,2,5,2,0,81,21/08/2015,1,6.3,0,0,0,0,695,4900
92,The Guillotines,10,6,4,1,112,14/06/2013,5,4.8,0,0,0,0,1044,5290
93,The Guilt Trip,2431,1,2,1,95,19/12/2012,1,5.8,77350,1,75600,1,713,37134215
94,Gulliver's Travels,3089,1,9,1,85,25/12/2010,1,4.9,56800,1,120500,1,729,42779261
95,Gun Hill Road,10,1,1,1,86,05/08/2011,1,6.6,0,0,0,0,867,148994
97,The Gunman,2816,1,4,1,115,20/03/2015,1,5.8,32350,1,45200,1,454,10664749
98,Gunnin' for That #1 Spot,14,1,3,1,90,27/06/2008,1,6.4,0,0,0,0,0,50804
99,Guru,76,4,6,1,166,12/01/2007,3,7.8,0,0,0,0,1024,2096000
100,Gurukulam,11,5,3,1,108,03/06/2016,1,7.4,0,0,0,0,0,25651
101,Guy and Madeline on a Park Bench,5,1,1,1,82,05/11/2010,1,6.1,0,0,54700,1,196,35556
102,Guzaarish,108,4,2,1,126,19/11/2010,3,7.5,0,0,0,0,1004,1017335
103,The Wolf of Wall Street,2557,1,6,1,180,25/12/2013,1,8.2,91233.33333,1,42800,1,885,116900694
104,Wolf Totem,5,6,9,1,121,11/09/2015,5,6.7,0,0,21000,1,796,210591
105,The Wolfman,3223,1,1,1,103,12/02/2010,1,5.8,41000,1,90100,1,1045,61979680
106,The Wolfpack,94,1,3,1,90,12/06/2015,1,7,0,0,0,0,912,1301696
107,The Wolverine,3924,1,4,1,126,26/07/2013,1,6.7,96700,1,78200,1,728,132556852
108,Wolves,12,3,4,1,91,14/11/2014,1,5.3,0,0,0,0,685,12139
109,The Woman in Black,2856,2,1,1,95,03/02/2012,1,6.4,0,0,18100,1,723,54333290
110,The Woman in Black 2: Angel of Death,2602,2,1,1,98,02/01/2015,1,4.9,0,0,0,0,603,26501323
111,Woman in Gold,2011,2,6,1,109,01/04/2015,1,7.3,43350,1,0,0,946,33307793
112,The Woman in the Fifth,14,3,1,1,84,15/06/2012,1,5.3,17700,1,0,0,613,113800
113,Woman Thou Art Loosed: On the 7th Day,106,1,1,1,101,13/04/2012,1,4.9,42500,1,0,0,300,1213128
114,The Woman Who Left,1,6,1,1,226,19/05/2017,1,7.9,0,0,0,0,168,3974
115,A Woman's Life,4,3,1,1,119,05/05/2017,2,6.8,0,0,0,0,0,37626
116,"A Woman, a Gun and a Noodle Shop",23,6,2,1,95,03/09/2010,5,5.7,0,0,0,0,260,190946
117,"A Woman, a Part",3,1,1,0,97,22/03/2017,1,5.7,0,0,0,0,0,23562
118,Women in Trouble,3,1,2,1,92,13/11/2009,1,5.8,53600,1,0,0,1115,18097
119,The Women on the 6th Floor,17,3,2,0,102,07/10/2011,2,7.1,0,0,0,0,282,719823
120,The Women's Balcony,34,6,2,1,96,03/03/2017,9,7.1,0,0,0,0,0,1194092
121,!Women Art Revolution,4,1,3,1,83,01/06/2011,1,6.8,0,0,0,0,0,52681
122,Won't Back Down,2517,1,1,1,121,28/09/2012,1,6.4,56466.66667,1,11700,1,1084,5310554
124,The Wonder of It All,39,1,3,1,82,17/07/2009,1,7.2,0,0,0,0,0,781016
126,Wonder Woman,4165,6,4,1,141,02/06/2017,1,7.6,121950,1,223500,1,594,412563408
