Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
JCVD,2008,R,04 Jun 2008,97 min,"Comedy, Crime, Drama",Mabrouk El Mechri,"Mabrouk El Mechri (scenario), Frédéric Benudis (in collaboration with), Mabrouk El Mechri (adaptation), Frédéric Taddeï (original idea), Vincent Ravalec (original idea), Christophe Turpin","Jean-Claude Van Damme, Valérie Bodson, Hervé Sogne, Rock Chen","French, English","Belgium, Luxembourg, France",2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.2,"34,585",tt1130988,movie,28 Apr 2009,"$382,923",Peach Arch Entertainment/Vitagraph Films,http://www.jcvd-lefilm.com/,b'PArch',"b'$470,691'",b'28',"b'$20,119'",b'2',b'11/7/2008'
Jealousy,2013,N/A,22 Aug 2014,77 min,Drama,Philippe Garrel,"Marc Cholodenko (screenplay), Caroline Deruas-Garrel (screenplay), Philippe Garrel (screenplay), Arlette Langmann (screenplay)","Louis Garrel, Anna Mouglalis, Rebecca Convenant, Olga Milshtein",French,France,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.4,"1,250",tt2511670,movie,N/A,N/A,DistriB Films,http://www.distribfilms.com/us/jealousy/,b'Distrib.',"b'$63,946'",b'6',"b'$5,533'",b'1',b'8/15/2014'
Jean de Florette,1986,PG,28 Aug 1987,120 min,Drama,Claude Berri,"Claude Berri (adaptation), Gérard Brach (adaptation), Marcel Pagnol (novel)","Yves Montand, Gérard Depardieu, Daniel Auteuil, Elisabeth Depardieu",French,"Switzerland, France, Italy",Nominated for 1 Golden Globe. Another 11 wins & 16 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,"20,956",tt0091288,movie,23 Jan 2001,N/A,MGM Home Entertainment,N/A,b'OrionC',"b'$4,940,939'",b'n/a',b'n/a',b'n/a',b'6/26/1987'
Jean-Michel Basquiat: The Radiant Child,2010,NOT RATED,12 Apr 2011,88 min,Documentary,Tamra Davis,"Eric Martin, Lois Vossen","Jean Michel Basquiat, Julian Schnabel, Larry Gagosian, Bruno Bischofberger",English,USA,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.9,"1,567",tt1568335,movie,09 Nov 2010,"$256,242",Arthouse Pictures,http://www.jean-michelbasquiattheradiantchild.com,b'Arth.',"b'$256,242'",b'7',"b'$17,466'",b'1',b'7/21/2010'
Jeanne and the Perfect Guy,1998,UNRATED,16 Apr 1999,105 min,"Drama, Musical, Romance","Olivier Ducastel, Jacques Martineau","Olivier Ducastel, Jacques Martineau","Virginie Ledoyen, Mathieu Demy, Jacques Bonnaffé, Valérie Bonneton","French, English",France,3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.6,639,tt0123923,movie,11 Jul 2000,N/A,Strand,N/A,b'Strand',"b'$4,417'",b'1',"b'$4,417'",b'1',b'4/16/1999'
Jeepers Creepers,2001,R,31 Aug 2001,90 min,"Horror, Mystery",Victor Salva,Victor Salva,"Gina Philips, Justin Long, Jonathan Breck, Patricia Belcher",English,"Germany, USA",3 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.1,"95,533",tt0263488,movie,08 Jan 2002,N/A,MGM Pictures,http://www.mgm.com/jeeperscreepers,b'UA',"b'$37,904,175'","b'2,944'","b'$13,106,108'","b'2,944'",b'8/31/2001'
"Lights, Camera, Creeper: Making 'Jeepers Creepers 2'",2003,N/A,23 Dec 2003,40 min,"Documentary, Short",Greg Carson,N/A,"Nicki Aycox, Drew Tyler Bell, Jonathan Breck, Billy Aaron Brown",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,23,tt0388147,movie,N/A,N/A,N/A,N/A,b'UA',"b'$35,667,218'","b'3,124'","b'$15,269,324'","b'3,124'",b'8/29/2003'
"Jeff, Who Lives at Home",2011,R,11 May 2012,83 min,"Comedy, Drama","Jay Duplass, Mark Duplass","Jay Duplass, Mark Duplass","Jason Segel, Ed Helms, Susan Sarandon, Judy Greer",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.5,"57,911",tt1588334,movie,19 Jun 2012,"$4,244,155",Paramount Vantage,http://www.JeffWhoLivesAtHome.com,b'ParV',"b'$4,269,426'",b'513',"b'$855,709'",b'254',b'3/16/2012'
Jefferson in Paris,1995,PG-13,31 Mar 1995,139 min,"Biography, Drama, History",James Ivory,Ruth Prawer Jhabvala,"Nick Nolte, Gwyneth Paltrow, Estelle Eonnet, Thandie Newton","English, French","USA, France",2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,5.7,"2,535",tt0113463,movie,06 Apr 2004,N/A,Franco London Films,N/A,b'BV',"b'$2,473,668'",b'351',"b'$61,349'",b'2',b'3/31/1995'
Jeffrey,1995,R,18 Aug 1995,92 min,"Comedy, Drama",Christopher Ashley,"Paul Rudnick (play), Paul Rudnick (screenplay)","Steven Weber, Peter Jacobson, Tom Cayler, David Thornton",English,USA,1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",N/A,6.7,"5,083",tt0113464,movie,03 Jun 2003,N/A,Westchester Films,N/A,b'OrionC',"b'$3,487,767'",b'63',"b'$185,909'",b'10',b'8/4/1995'
