Date,"['2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03', '2016-03']"
TW,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91']"
LW,"['N', '1', '2', 'N', '3', 'N', '4', '7', '5', '6', '8', '9', '16', '17', '13', '14', '12', '15', '10', '29', '18', '-', '11', '21', '24', '20', 'N', '22', 'N', '19', '35', '26', '28', '25', '45', '33', '51', '23', '36', '34', '27', '-', '44', '30', '47', '32', '39', '40', '41', '42', 'N', '54', '76', '62', 'N', '80', '49', '63', '79', '60', '50', '65', '68', 'N', '64', '55', '67', '37', '58', '56', '69', '66', '92', '57', '61', '70', '72', '74', '84', '31', '73', '81', 'N', '89', '71', '82', '86', '-', '78', '94', '96', '85']"
Title (Click to view),"['Ride Along 2', 'The Revenant', 'Star Wars: The Force Awakens', '13 Hours: The Secret Soldiers of Benghazi', ""Daddy's Home"", 'Norm of the North', 'The Forest', 'The Big Short', 'Sisters', 'The Hateful Eight', 'Alvin and the Chipmunks: The Road Chip', 'Joy', 'Brooklyn', 'Spotlight', 'Carol', 'The Good Dinosaur', 'The Hunger Games: Mockingjay - Part 2', 'Creed', 'Concussion (2015)', 'Room', 'The Danish Girl', 'Patterns of Evidence: The Exodus', 'Point Break (2015)', 'The Martian', 'Anomalisa', 'Spectre', 'Mad Max: Fury Road (Academy Re-Release)', 'The Peanuts Movie', 'Detective Chinatown (Tang ren jie tan an)', 'Wazir', 'Bridge of Spies', 'In the Heart of the Sea', 'Hotel Transylvania 2', 'Youth', 'Son of Saul', 'Goosebumps', 'Mustang', 'Bajirao Mastani', '45 Years', 'Trumbo (2015)', 'The Himalayas', 'The Lady in the Van', 'Macbeth (2015)', 'Krampus', 'Hubble 3D', 'Mr. Six', 'Dictator', 'Ho Mann Jahaan', 'Dilwale', 'The 33', 'Band of Robbers', 'Chimes at Midnight (2016 re-release)', 'Theeb', 'Chi-Raq', 'In the Shadow of Women', 'Island of Lemurs: Madagascar (IMAX)', 'Janis: Little Girl Blue', 'Only Yesterday (2016 re-release)', 'Truth', 'The Treasure', 'Devil and Angel (E Gun Tian Shi)', 'Anesthesia', 'Labyrinth of Lies', 'Remember You', 'Troublemakers: The Story of Land Art', 'Trust Fund', 'Entertainment', 'Yellow Day (2015)', 'Hitchcock/Truffaut', 'Grandma (2015)', 'Heart of a Dog', 'Ingrid Bergman: In Her Own Words', 'In Jackson Heights', 'Maze Runner: The Scorch Trials', 'Remember', 'The Letters', 'Flowers', 'Born to Be Wild (IMAX)', 'Under the Sea 3D', 'The Masked Saint', 'Woodlawn', 'Burnt', 'A Perfect Day', 'Journey to the South Pacific', 'Censored Voices', 'Deep Sea 3D (IMAX)', 'Yosemite', 'Dreams Rewired', 'Noma - My Perfect Storm', 'Space Station 3-D (IMAX)', 'The Lady in the Car with Glasses and a Gun', 'The World of Kanako']"
Studio,"['Uni.', 'Fox', 'BV', 'Par.', 'Par.', 'LGF', 'Focus', 'Par.', 'Uni.', 'Wein.', 'Fox', 'Fox', 'FoxS', 'ORF', 'Wein.', 'BV', 'LGF', 'WB (NL)', 'Sony', 'A24', 'Focus', 'TMF', 'WB', 'Fox', 'Par.', 'Sony', 'WB', 'Fox', 'CL', 'Relbig.', 'BV', 'WB', 'Sony', 'FoxS', 'SPC', 'Sony', 'Cohen', 'Eros', 'IFC', 'BST', 'CJ', 'SPC', 'Wein.', 'Uni.', 'WB', 'CL', 'Eros', 'Eros', 'UTV', 'WB', 'Grav.', 'Jan.', 'FM', 'RAtt.', 'Distrib.', 'WB', 'FR', 'GK', 'SPC', 'SDS', 'CL', 'IFC', 'SPC', 'CJ', 'FRun', 'Trans', 'Magn.', 'PFP', 'Cohen', 'SPC', 'Abr.', 'Rialto', 'Zipp.', 'Fox', 'EOne', 'Free', 'MBox', 'WB', 'WB', 'Free', 'PFR', 'Wein.', 'IFC', 'Imax', 'MBox', 'WB', 'Mont.', 'Icar.', 'Magn.', 'Imax', 'Magn.', 'Drft.']"
Weekly Gross,"['$46,150,040', '$45,017,753', '$39,099,505', '$23,733,429', '$13,554,163', '$10,196,203', '$7,973,783', '$7,892,959', '$6,603,360', '$5,462,184', '$4,702,691', '$4,409,370', '$2,914,708', '$2,656,182', '$2,239,177', '$1,690,792', '$1,646,206', '$1,645,156', '$1,503,579', '$1,257,284', '$1,148,740', '$764,309', '$667,986', '$662,374', '$460,709', '$440,714', '$421,986', '$378,593', '$365,507', '$339,652', '$321,368', '$300,741', '$257,314', '$241,677', '$185,596', '$178,916', '$150,050', '$147,369', '$145,627', '$139,006', '$113,103', '$94,757', '$53,863', '$48,575', '$48,005', '$42,288', '$41,330', '$30,239', '$26,249', '$22,686', '$20,555', '$18,610', '$18,260', '$16,630', '$16,250', '$14,362', '$13,859', '$11,363', '$10,559', '$10,325', '$9,344', '$8,903', '$8,650', '$8,524', '$7,554', '$6,918', '$6,684', '$6,420', '$6,141', '$6,101', '$5,717', '$5,216', '$5,063', '$4,842', '$4,262', '$4,180', '$3,722', '$3,371', '$3,125', '$3,060', '$2,909', '$2,690', '$2,501', '$2,113', '$1,554', '$1,322', '$723', '$471', '$266', '$227', '$122', '$105']"
Change(%),"['-', '-20.5%', '-29.6%', '-', '-27.3%', '-', '-48.0%', '-10.0%', '-32.1%', '-39.5%', '-28.8%', '-33.1%', '+86.2%', '+96.0%', '+2.8%', '-19.6%', '-39.2%', '-20.6%', '-63.6%', '+469.9%', '-10.6%', '-', '-76.9%', '+17.9%', '+50.8%', '-21.7%', '-', '+13.6%', '-', '-52.5%', '+105.6%', '+14.8%', '+6.3%', '-9.6%', '+318.9%', '+1.5%', '+305.8%', '-53.8%', '+31.6%', '-16.5%', '-56.0%', '-', '-6.9%', '-77.6%', '+17.0%', '-76.2%', '-33.5%', '-50.9%', '-57.2%', '-62.7%', '-', '-40.8%', '+317.9%', '+16.2%', '-', '+305.9%', '-65.3%', '-17.7%', '+192.2%', '-46.0%', '-76.5%', '-11.7%', '+20.4%', '-', '-27.4%', '-72.0%', '-24.6%', '-93.9%', '-70.6%', '-72.8%', '-19.0%', '-43.8%', '+428.5%', '-78.2%', '-70.8%', '-38.1%', '-30.7%', '-25.3%', '+34.6%', '-98.3%', '-45.6%', '-23.9%', '-', '+82.3%', '-74.9%', '-56.3%', '-51.8%', '-', '-92.6%', '-70.3%', '+60.5%', '-93.5%']"
Theater Count,"['3,175', '3,559', '3,822', '2,389', '3,322', '2,411', '2,509', '1,765', '2,313', '2,385', '2,221', '1,796', '687', '985', '790', '812', '797', '878', '1,041', '293', '479', '0', '504', '275', '37', '288', '0', '259', '33', '93', '173', '236', '157', '94', '21', '125', '52', '302', '14', '66', '19', '4', '19', '106', '8', '11', '19', '23', '12', '34', '11', '4', '13', '17', '2', '4', '8', '1', '14', '3', '5', '2', '6', '2', '5', '3', '3', '22', '7', '13', '4', '3', '4', '12', '5', '5', '4', '4', '2', '26', '2', '4', '2', '2', '2', '3', '4', '0', '2', '1', '1', '1']"
Theater Change,"['-', '+184', '-312', '-', '-161', '-', '+58', '-764', '-551', '-553', '-751', '-717', '+393', '+617', '+265', '-378', '-430', '-123', '-1,015', '+205', '+62', '-', '-1,477', '+4', '+20', '-91', '-', '-27', '-', '-18', '+78', '+14', '-20', '-1', '+17', '-39', '+38', '-', '+5', '-24', '-17', '-', '-3', '-139', '-2', '-21', '-', '-', '-30', '-48', '-', '+2', '+6', '+3', '-', '-', '-5', '-', '+7', '-', '-4', '+1', '-2', '-', '-', '-1', '+2', '-18', '-10', '-25', '-', '+1', '+2', '-27', '-3', '-', '-1', '+1', '+1', '-456', '-6', '+1', '-', '-', '-1', '+1', '+2', '-', '-2', '-', '-', '-2']"
Average,"['$14,535', '$12,649', '$10,230', '$9,934', '$4,080', '$4,229', '$3,178', '$4,472', '$2,855', '$2,290', '$2,117', '$2,455', '$4,243', '$2,697', '$2,834', '$2,082', '$2,066', '$1,874', '$1,444', '$4,291', '$2,398', 'n/a', '$1,325', '$2,409', '$12,452', '$1,530', 'n/a', '$1,462', '$11,076', '$3,652', '$1,858', '$1,274', '$1,639', '$2,571', '$8,838', '$1,431', '$2,886', '$488', '$10,402', '$2,106', '$5,953', '$23,689', '$2,835', '$458', '$6,001', '$3,844', '$2,175', '$1,315', '$2,187', '$667', '$1,869', '$4,653', '$1,405', '$978', '$8,125', '$3,591', '$1,732', '$11,363', '$754', '$3,442', '$1,869', '$4,452', '$1,442', '$4,262', '$1,511', '$2,306', '$2,228', '$292', '$877', '$469', '$1,429', '$1,739', '$1,266', '$404', '$852', '$836', '$931', '$843', '$1,563', '$118', '$1,455', '$673', '$1,251', '$1,057', '$777', '$441', '$181', 'n/a', '$133', '$227', '$122', '$105']"
