,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
0,Samuel L. Jackson,5149100.0,73.0,70500.0,The Avengers,623400.0
1,Harrison Ford,4955500.0,42.0,118000.0,Star Wars: The Force Awakens,936700.0
2,Tom Hanks,4522900.0,47.0,96200.0,Toy Story 3,415000.0
3,Morgan Freeman,4515800.0,62.0,72800.0,The Dark Knight,534900.0
4,"Robert Downey, Jr.",4281300.0,54.0,79300.0,The Avengers,623400.0
5,Eddie Murphy,3811100.0,39.0,97700.0,Shrek 2,441200.0
6,Tom Cruise,3775400.0,39.0,96800.0,War of the Worlds,234300.0
7,Stanley Tucci,3758100.0,52.0,72300.0,Beauty and the Beast,504000.0
8,Scarlett Johansson,3674900.0,40.0,91900.0,The Avengers,623400.0
9,Ian McKellen,3654400.0,32.0,114200.0,Beauty and the Beast,504000.0
10,Johnny Depp,3541200.0,46.0,77000.0,Dead Man's Chest,423300.0
11,Anthony Daniels,3420700.0,8.0,427600.0,Star Wars: The Force Awakens,936700.0
12,Michael Caine,3396500.0,59.0,57600.0,The Dark Knight,534900.0
13,Gary Oldman,3377400.0,40.0,84400.0,The Dark Knight,534900.0
14,Robin Williams,3279300.0,49.0,66900.0,Night at the Museum,250900.0
15,Robert DeNiro,3233700.0,81.0,39900.0,Meet the Fockers,279300.0
16,Emma Watson,3206400.0,18.0,178100.0,Beauty and the Beast,504000.0
17,Will Smith,3205000.0,25.0,128199.99999999999,Suicide Squad,325100.0
18,Bruce Willis,3189400.0,60.0,53200.0,Sixth Sense,293500.0
19,Stellan Skarsgard,3175000.0,43.0,73800.0,The Avengers,623400.0
20,Matt Damon,3163000.0,41.0,77100.0,The Martian,228400.0
21,Andy Serkis,3037400.0,24.0,126600.0,Star Wars: The Force Awakens,936700.0
22,Cameron Diaz,3031700.0,34.0,89200.0,Shrek 2,441200.0
23,Woody Harrelson,2995300.0,55.0,54500.0,Catching Fire,424700.0
24,Orlando Bloom,2988400.0,18.0,166000.0,Dead Man's Chest,423300.0
25,Liam Neeson,2954400.0,66.0,44800.0,The Phantom Menace,474500.0
26,Bradley Cooper,2947500.0,26.0,113400.0,Guardians of the Galaxy 2,389800.0
27,Ralph Fiennes,2903100.0,37.0,78500.0,Harry Potter / Deathly Hallows (P2),381000.0
28,Don Cheadle,2885500.0,34.0,84900.0,Avengers: Age of Ultron,459000.0
29,Cate Blanchett,2850000.0,42.0,67900.0,Return of the King,377800.0
30,Ben Stiller,2829100.0,38.0,74500.0,Meet the Fockers,279300.0
31,Helena Bonham Carter,2822000.0,36.0,78400.0,Harry Potter / Deathly Hallows (P2),381000.0
32,Vin Diesel,2813800.0,22.0,127900.0,Guardians of the Galaxy 2,389800.0
33,Elizabeth Banks,2811700.0,36.0,78100.0,Catching Fire,424700.0
34,Dwayne Johnson,2807400.0,26.0,108000.0,Furious 7,353000.0
35,Julia Roberts,2780400.0,43.0,64700.0,Ocean's Eleven,183400.0
36,Mark Wahlberg,2773300.0,39.0,71100.0,Transformers 4,245400.0
37,Owen Wilson,2772600.0,41.0,67600.0,Night at the Museum,250900.0
