,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
0,0,1,1,Keanu,2016,2681,USA,Action,Rated,100,2016-04-29,Peter Atencio,"['Jordan Peele', ' Keegan-Michael Key', ' Tiffany Haddish']",English,6.3,20591853.0,11149116327.0,2953177273.0,51
1,1,2,2,Kedi,2016,130,Turkey,Documentary,Unrated,79,2017-02-10,Ceyda Torun,['Bülent Üstün'],Turkish,7.8,2833336.0,11216236720.0,50850748.0,30
2,2,4,5,Keep on Keepin' On,2014,9,USA,Documentary,Rated,84,2014-09-19,Alan Hicks,"['Candy', ' Terri Lyne Carrington', ' Quincy Cavers']",English,7.7,163745.0,10893180888.0,49307450.0,46
3,3,5,6,Keep Quiet,2016,3,UK,Documentary,Rated,90,2017-02-17,Sam Blair,['Csanad Szegedi'],English,6.5,50451.0,11216236720.0,50850748.0,30
4,4,6,7,Keep the Lights On,2012,10,USA,Drama,Unrated,101,2012-09-07,Ira Sachs,"['Thure Lindhardt', ' Zachary Booth', ' Marilyn Neimark']",English,6.2,246112.0,10187347362.0,1490190858.0,43
5,5,8,9,Keep Watching,2017,805,USA,Horror,Rated,89,2017-10-31,Sean Carter,"['Bella Thorne', ' Ioan Gruffudd', ' Chandler Riggs']",English,5.6,94178.0,11216236720.0,479705329.0,47
6,6,11,13,The Keeping Room,2014,10,USA,Drama,Rated,95,2015-09-25,Daniel Barber,"['Brit Marling', ' Hailee Steinfeld', ' Muna Otaru']",English,6.0,27166.0,10354970864.0,1679582816.0,47
7,7,13,15,Keeping Up with the Joneses,2016,3022,USA,Action,Rated,105,2016-10-21,Greg Mottola,"['Zach Galifianakis', ' Isla Fisher', ' Jon Hamm']",Mandarin,5.8,14904426.0,11149116327.0,2953177273.0,46
8,8,15,17,Keith Lemon: The Film,2012,0,UK,Comedy,Rated,85,2012-08-24,Paul Angunawela,"['Leigh Francis', ' Kelly Brook', ' Laura Aikman']",English,2.6,0.0,10187347362.0,1490816438.0,46
9,9,16,19,Kelly & Cal,2014,6,USA,Comedy,Rated,111,2014-09-05,Jen McGowan,"['Juliette Lewis', ' Jonny Weston', ' Josh Hopkins']",English,6.2,17702.0,10893180888.0,1619719448.0,46
10,10,19,24,Kevin Hart: Laugh at My Pain,2011,287,USA,Documentary,Rated,89,2011-09-09,Leslie Small,"['Kevin Hart', ' Taraji P. Henson', "" Will 'Spank' Horton""]",English,7.5,7706436.0,10589599184.0,93825307.0,43
