,Title,Theaters_x,Country_x,Genre_x,Rated_x,Runtime_x,Open_x,Language_x,imdbRating_x,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,last year_totalgross,genre_gross,count_num,Total Gross_x
0,Keanu,2681,1,4,1,100,29/04/2016,1,6.3,55700.0,1,,0,642.0,11149116327.0,2953177273.0,51.0,20591853
1,Kedi,130,6,3,0,79,10/02/2017,29,7.8,0.0,0,,0,999.0,11216236720.0,50850748.0,30.0,2833336
2,Keep on Keepin' On,9,1,3,1,84,19/09/2014,1,7.7,0.0,0,,0,209.0,10893180888.0,49307450.0,46.0,163745
3,Keep Quiet,3,2,3,1,90,17/02/2017,1,6.5,0.0,0,,0,398.0,11216236720.0,50850748.0,30.0,50451
4,Keep the Lights On,10,1,1,0,101,07/09/2012,1,6.2,0.0,0,,0,743.0,10187347362.0,1490190858.0,43.0,246112
5,Keep Watching,805,1,8,1,89,31/10/2017,1,5.6,40750.0,1,,0,775.0,11216236720.0,479705329.0,47.0,94178
6,The Keeping Room,10,1,1,1,95,25/09/2015,1,6.0,21250.0,1,,0,1701.0,10354970864.0,1679582816.0,47.0,27166
7,Keeping Up with the Joneses,3022,1,4,1,105,21/10/2016,5,5.8,66833.33333,1,38400.0,1,442.0,11149116327.0,2953177273.0,46.0,14904426
8,Kelly & Cal,6,1,2,1,111,05/09/2014,1,6.2,0.0,0,,0,342.0,10893180888.0,1619719448.0,46.0,17702
9,Kevin Hart: Laugh at My Pain,287,1,3,1,89,09/09/2011,1,7.5,61850.0,1,,0,316.0,10589599184.0,93825307.0,43.0,7706436
10,Kevin Hart: Let Me Explain,892,1,3,1,75,03/07/2013,1,6.8,69000.0,1,,0,526.0,11041914748.0,131885122.0,32.0,32244051
11,Kevin Hart: What Now?,2567,1,3,1,96,14/10/2016,1,5.8,72633.33333,1,,0,0.0,11149116327.0,65052467.0,46.0,23591043
12,Keyhole,7,5,1,1,94,06/04/2012,1,5.5,0.0,0,,0,702.0,10187347362.0,1490190858.0,36.0,22826
13,Khatta Meetha,83,4,4,1,157,23/07/2010,3,5.7,0.0,0,,0,759.0,10639535233.0,2041030428.0,31.0,541904
14,Khiladi 786,115,4,4,0,141,07/12/2012,3,4.4,0.0,0,,0,996.0,10187347362.0,2117507233.0,21.0,379466
15,Khodorkovsky,2,6,3,0,111,30/11/2011,13,7.0,0.0,0,,0,612.0,10589599184.0,93825307.0,28.0,39522
16,Khoobsurat,61,4,2,1,130,19/09/2014,3,6.4,0.0,0,,0,622.0,10893180888.0,1619719448.0,46.0,710508
17,Khumba,2,6,7,0,85,06/12/2013,1,5.7,0.0,0,,0,0.0,11041914748.0,,27.0,1029
18,Ki & Ka,148,4,2,1,126,01/04/2016,3,5.8,0.0,0,,0,1194.0,11149116327.0,1321791183.0,51.0,857986
19,Kick,180,4,4,0,146,25/07/2014,3,5.5,0.0,0,,0,1268.0,10893180888.0,2225063194.0,28.0,2472695
20,Kick-Ass,3065,2,4,1,117,16/04/2010,1,7.7,0.0,0,77300.0,1,909.0,10639535233.0,2041030428.0,30.0,48071303
21,Kick-Ass 2,2945,1,4,1,103,16/08/2013,1,6.6,43200.0,1,21200.0,1,1360.0,11041914748.0,2219810902.0,44.0,28795985
22,Kickin' It Old Skool,1816,1,2,1,108,27/04/2007,1,4.6,0.0,0,,0,1088.0,9190502983.0,1955138318.0,17.0,4502604
23,Kicking It,2,1,3,0,98,13/06/2008,1,7.4,38600.0,1,,0,0.0,9767268194.0,70723219.0,29.0,13266
24,Kicks,65,1,9,1,80,09/09/2016,1,6.2,0.0,0,,0,1124.0,11149116327.0,3051739355.0,54.0,150191
25,Kid Cannabis,1,1,6,0,110,18/04/2014,1,6.4,16100.0,1,16600.0,1,416.0,10893180888.0,,33.0,5565
26,The Kid with a Bike,86,6,1,1,84,16/03/2012,2,7.4,0.0,0,,0,498.0,10187347362.0,1490190858.0,49.0,1470000
27,The Kidnapping of Michel Houellebecq,1,3,2,0,96,25/03/2015,2,6.8,0.0,0,,0,342.0,10354970864.0,1272411206.0,33.0,11546
28,The Kids Are All Right,994,1,2,1,106,09/07/2010,1,7.1,38100.0,1,8800.0,1,523.0,10639535233.0,1435263724.0,31.0,20811365
29,Kids for Cash,12,1,3,1,102,07/02/2014,1,7.1,0.0,0,,0,483.0,10893180888.0,49307450.0,29.0,143178
30,The Kids Grow Up,1,1,3,0,90,29/10/2010,1,6.8,0.0,0,,0,338.0,10639535233.0,187290939.0,34.0,12095
31,"Kiki, Love to Love",3,6,2,0,102,11/11/2016,4,6.5,0.0,0,,0,0.0,11149116327.0,1321791183.0,35.0,12450
32,Kill List,10,2,5,0,95,03/02/2012,1,6.4,0.0,0,,0,1161.0,10187347362.0,,29.0,29063
33,Kill Me Three Times,16,1,4,1,90,10/04/2015,1,5.9,131000.0,1,,0,700.0,10354970864.0,2268082751.0,45.0,24296
34,"Kill Me, Deadly",3,1,2,1,100,01/04/2016,1,7.4,0.0,0,,0,0.0,11149116327.0,1321791183.0,51.0,36027
35,The Kill Team,2,1,3,1,79,25/07/2014,1,7.1,0.0,0,,0,198.0,10893180888.0,49307450.0,28.0,18983
36,Kill the Irishman,56,1,6,1,106,11/03/2011,1,7.1,51350.0,1,,0,668.0,10589599184.0,,30.0,1188194
