,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
0,Steven Spielberg,4455300.0,32.0,139200.0,E.T.,435100.0
1,Michael Bay,2326500.0,13.0,179000.0,Transformers 2,402100.0
2,Robert Zemeckis,2277900.0,19.0,119900.0,Forrest Gump,330300.0
3,Peter Jackson,2134700.0,12.0,177900.0,Return of the King,377800.0
4,Christopher Nolan,2004900.0,11.0,182300.0,The Dark Knight,534900.0
5,James Cameron,1976000.0,9.0,219600.0,Avatar,760500.0
6,Ron Howard,1896000.0,24.0,79000.0,The Grinch,260000.0
7,Tim Burton,1840200.0,18.0,102200.0,Alice in Wonderland,334200.0
8,Clint Eastwood,1816000.0,34.0,53400.0,American Sniper,350100.0
9,Chris Columbus,1750300.0,15.0,116700.0,Harry Potter / Sorcerer's Stone,317600.0
10,George Lucas,1743900.0,6.0,290700.0,The Phantom Menace,474500.0
11,J.J. Abrams,1684200.0,5.0,336800.0,Star Wars: The Force Awakens,936700.0
12,Ridley Scott,1656100.0,24.0,69000.0,The Martian,228400.0
13,David Yates,1631600.0,6.0,271900.0,Harry Potter / Deathly Hallows (P2),381000.0
14,Gore Verbinski,1529400.0,10.0,152900.0,Dead Man's Chest,423300.0
15,Sam Raimi,1526700.0,14.0,109000.0,Spider-Man,403700.0
16,Lee Unkrich,1523700.0,5.0,304700.0,Toy Story 3,415000.0
17,Francis Lawrence,1434600.0,6.0,239100.0,Catching Fire,424700.0
18,Jon Favreau,1334500.0,8.0,166800.0,The Jungle Book,364000.0
19,Zack Snyder,1317600.0,8.0,164700.0,Batman v Superman,330400.0
20,Roland Emmerich,1292200.0,12.0,107700.0,Independence Day,306200.0
21,M. Night Shyamalan,1233400.0,11.0,112100.0,Sixth Sense,293500.0
22,Bill Condon,1232600.0,9.0,137000.0,Beauty and the Beast,504000.0
23,Pierre Coffin,1220200.0,4.0,305100.0,Despicable Me 2,368100.0
24,Chris Renaud,1202000.0,4.0,300500.0,The Secret Life of Pets,368400.0
25,Andrew Stanton,1164000.0,4.0,291000.0,Finding Dory,486300.0
26,Andrew Adamson,1154700.0,6.0,192500.0,Shrek 2,441200.0
27,Bryan Singer,1142200.0,9.0,126900.0,X-Men: Days of Future Past,233900.0
28,Richard Donner,1139100.0,16.0,71200.0,Lethal Weapon 2,147300.0
29,Brett Ratner,1130800.0,10.0,113100.0,X-Men: The Last Stand,234400.0
30,Shawn Levy,1130300.0,11.0,102800.0,Night at the Museum,250900.0
31,Joss Whedon,1112200.0,4.0,278100.0,The Avengers,623400.0
32,Ivan Reitman,1099600.0,15.0,73300.0,Ghostbusters,242200.0
33,Dennis Dugan,1096700.0,14.0,78300.0,Big Daddy,163500.0
34,Jay Roach,1095400.0,9.0,121700.0,Meet the Fockers,279300.0
35,Tony Scott,1092600.0,16.0,68300.0,Top Gun,179800.0
36,Barry Sonnenfeld,1078300.0,11.0,98000.0,Men in Black,250700.0
37,Steven Soderbergh,1067100.0,27.0,39500.0,Ocean's Eleven,183400.0
38,Carlos Saldanha,1042200.0,8.0,130300.00000000001,Ice Age 3,196600.0
39,Todd Phillips,1038099.9999999999,10.0,103800.0,The Hangover,277300.0
40,John Lasseter,1036000.0,5.0,207200.0,Toy Story 2,245900.0
41,Martin Scorsese,1027900.0000000001,24.0,42800.0,The Departed,132400.0
42,Garry Marshall,1023400.0,18.0,56900.0,Pretty Woman,178400.0
43,Joel Schumacher,963000.0,22.0,43800.0,Batman Forever,184000.0
44,Conrad Vernon,953700.0,4.0,238400.0,Shrek 2,441200.0
45,Pete Docter,939400.0,3.0,313100.0,Inside Out,356500.0
46,Tom McGrath,913400.0,5.0,182700.0,Madagascar 3,216400.0
47,Jon Turteltaub,907400.0,10.0,90700.0,National Treasure: Book of Secrets,220000.0
48,Tom Shadyac,892700.0,8.0,111600.0,Bruce Almighty,242800.0
49,Rob Minkoff,867200.0,7.0,123900.0,Lion King,422800.0
50,George Miller,603500.0,10.0,60400.0,Happy Feet,198000.0
51,Andy Tennant,598000.0,9.0,66400.0,Hitch,179500.0
52,Woody Allen,591300.0,44.0,13400.0,Midnight in Paris,56800.0
53,Gary Ross,589700.0,4.0,147400.0,The Hunger Games,408000.0
54,Mel Gibson,589200.0,5.0,117800.0,Passion of the Christ,370800.0
55,Paul Feig,584500.0,5.0,116900.0,Bridesmaids,169100.0
56,Mike Newell,581800.0,14.0,41600.0,Harry Potter / Goblet of Fire,290000.0
57,Wes Craven,579500.0,16.0,36200.0,Scream,103000.0
58,Frank Coraci,575000.0,7.0,82100.0,Waterboy,161500.0
59,Michael Apted,574900.0,18.0,31900.0,World Is Not Enough,126900.0
60,Frank Oz,574400.0,12.0,47900.0,The Score,71100.0
61,Joel Coen,573700.0,18.0,31900.0,True Grit,171200.0
62,Doug Liman,572600.0,9.0,63600.0,Mr. & Mrs. Smith,186300.0
63,Andrew Davis,571800.0,11.0,52000.0,The Fugitive,183900.0
64,David Zucker,571500.0,10.0,57200.0,Scary Movie 3,110000.0
65,Jan DeBont,568600.0,5.0,113700.0,Twister,241700.0
66,Phillip Noyce,567200.0,13.0,43600.0,Clear and Present Danger,122200.0
67,Betty Thomas,563300.0,7.0,80500.0,Alvin and the Chipmunks 2,219600.0
68,Chris Sanders,550500.0,3.0,183500.0,How to Train Your Dragon,217600.0
69,Ang Lee,548300.0,13.0,42200.0,Hulk,132200.0
70,Dean DeBlois,540400.0,3.0,180100.0,How to Train Your Dragon,217600.0
71,Rich Moore,530700.0,2.0,265300.0,Zootopia,341300.0
72,Lasse Hallstrom,530600.0,15.0,35400.0,Dear John,80000.0
73,Renny Harlin,526700.0,16.0,32900.0,Die Hard 2,117500.0
74,John Woo,526400.0,7.0,75200.0,Mission: Impossible II,215400.0
75,Edward Zwick,524300.0,12.0,43700.0,The Last Samurai,111100.0
76,Michael Mann,524100.0,11.0,47600.0,Collateral,101000.0
77,David Silverman,523900.0,3.0,174600.0,"Monsters, Inc.",289900.0
78,Marc Webb,522700.00000000006,5.0,104500.0,The Amazing Spider-Man,262000.0
79,David O. Russell,521799.99999999994,8.0,65200.0,American Hustle,150100.0
80,Guy Ritchie,521000.0,9.0,57900.0,Sherlock Holmes,209000.0
81,Nora Ephron,515000.0,8.0,64400.00000000001,Sleepless in Seattle,126700.0
82,Marc Forster,514500.0,9.0,57200.0,World War Z,202400.0
83,Steve Carr,507400.0,7.0,72500.0,Paul Blart: Mall Cop,146300.0
84,Simon West,497300.0,7.0,71000.0,Tomb Raider,131200.0
85,William Friedkin,495300.0,15.0,33000.0,The Exorcist,232900.0
86,David Ayer,492200.0,6.0,82000.0,Suicide Squad,325100.0
87,Louis Leterrier,490300.0,6.0,81700.0,Clash of the Titans,163200.0
88,Judd Apatow,488600.0,6.0,81400.0,Knocked Up,148800.0
89,Jerry Zucker,487400.0,6.0,81200.0,Ghost,217600.0
90,Peyton Reed,485300.0,5.0,97100.0,Ant-Man,180200.0
91,Rob Letterman,482100.0,4.0,120500.0,Monsters Vs. Aliens,198400.0
92,McG,480500.0,6.0,80100.0,Terminator Salvation,125300.0
93,Mark S. Waters,475900.0,10.0,47600.0,Freaky Friday,110200.0
94,Chris Weitz,474100.0,5.0,94800.0,New Moon,296600.0
95,Robert Schwentke,473500.0,6.0,78900.0,Insurgent,130199.99999999999
96,Chris Miller,472000.0,2.0,236000.0,Shrek the Third,322700.0
97,Scott Derrickson,465700.0,5.0,93100.0,Doctor Strange,232600.0
98,John Singleton,465200.0,9.0,51700.0,2 Fast 2 Furious,127200.0
99,Matthew Vaughn,464000.0,6.0,77300.0,X-Men: First Class,146400.0
100,Peter Weir,454000.0,10.0,45400.0,Truman Show,125600.0
101,Matt Reeves,453300.0,5.0,90700.0,Dawn of the Planet of the Apes,208500.0
102,Roger Donaldson,452800.0,15.0,30200.0,Cocktail,78200.0
103,Cameron Crowe,450400.0,9.0,50000.0,Jerry Maguire,154000.0
104,John Lee Hancock,450100.0,5.0,90000.0,The Blind Side,256000.0
105,Tim Johnson,449700.0,4.0,112400.0,Home,177400.0
106,Shane Black,449500.0,3.0,149800.0,Iron Man 3,409000.0
107,Paul Weitz,449000.0,10.0,44900.0,Little Fockers,148400.0
108,Patty Jenkins,447000.0,2.0,223500.0,Wonder Woman,412600.0
109,Paul Verhoeven,445700.0,9.0,49500.0,Total Recall,119400.0
110,Chris Wedge,445500.0,4.0,111400.0,Ice Age,176400.0
111,Jake Kasdan,445000.0,7.0,63600.0,Jumanji (2017),244400.0
112,Paul W.S. Anderson,441300.0,12.0,36800.0,Alien Vs. Predator,80300.0
113,Guillermo del Toro,437000.0,10.0,43700.0,Pacific Rim,101800.0
114,Harold Ramis,435700.0,11.0,39600.0,Analyze This,106900.0
115,Vicky Jenson,434900.0,3.0,145000.0,Shrek,267700.0
116,Nick Stoller,431300.0,6.0,71900.0,Neighbors,150200.0
117,Seth Gordon,430900.0,5.0,86200.0,Identity Thief,134500.0
118,Jonathan Liebesman,430500.0,5.0,86100.0,Ninja Turtles,191200.0
119,David Dobkin,427700.0,6.0,71300.0,Wedding Crashers,209300.0
120,Taylor Hackford,426800.0,14.0,30500.0,An Officer and a Gentleman,129800.00000000001
121,Robert Luketic,421000.0,7.0,60100.0,Legally Blonde,96500.0
122,Malcolm D. Lee,416800.0,9.0,46300.0,Girls Trip,115100.0
123,Martin Brest,413800.0,6.0,69000.0,Beverly Hills Cop,234800.0
124,Alan J. Pakula,413800.0,12.0,34500.0,Pelican Brief,100800.0
125,Irvin Kershner,411600.0,4.0,102900.0,The Empire Strikes Back,290500.0
126,Penny Marshall,407000.0,7.0,58100.0,Big,115000.0
127,Curtis Hanson,406800.0,11.0,37000.0,8 Mile,116800.0
128,Ethan Coen,402500.0,8.0,50300.0,True Grit,171200.0
129,Jennifer Lee,400700.0,1.0,400700.0,Frozen,400700.0
130,Keenen Ivory Wayans,400200.0,6.0,66700.0,Scary Movie,157000.0
131,Andres Muschietti,399100.0,2.0,199600.0,It,327500.0
132,Walter Hill,395000.0,17.0,23200.0,Another 48 HRS.,80800.0
133,Mel Brooks,393600.0,10.0,39400.0,Blazing Saddles,119600.0
134,Rawson Marshall Thurber,392200.0,4.0,98100.0,We're the Millers,150400.0
135,Jonathan Demme,391900.0,20.0,19600.0,Silence of the Lambs,130699.99999999999
136,James L. Brooks,391500.0,6.0,65300.0,As Good as It Gets,148500.0
137,Tim Hill,387800.0,5.0,77600.0,Alvin and the Chipmunks,217300.0
138,Amy Heckerling,384000.0,9.0,42700.0,Look Who's Talking,140100.0
139,Spike Lee,379800.0,21.0,18100.0,Inside Man,88500.0
140,Anne Fletcher,377800.0,5.0,75600.0,The Proposal,164000.0
141,David Frankel,375000.0,7.0,53600.0,Marley and Me,143200.0
142,Jon Chu,369400.0,7.0,52800.0,G.I. Joe: Retaliation,122500.0
143,Kevin Reynolds,365900.0,9.0,40700.0,Robin Hood: Prince of Thieves,165500.0
144,Andy Fickman,365600.0,6.0,60900.0,The Game Plan,90600.0
145,Jeff Tremaine,356300.0,4.0,89100.0,Jackass 3-D,117200.0
146,Brad Silberling,354000.0,6.0,59000.0,Lemony Snicket,118600.0
147,Sean Anders,353100.0,6.0,58900.0,Daddy's Home,150400.0
148,Kevin Costner,348400.0,4.0,87100.0,Dances with Wolves,184200.0
149,Jim Abrahams,348000.0,8.0,43500.0,Airplane!,83500.0
150,Seth MacFarlane,343400.0,3.0,114500.0,Ted,218800.0
151,Peter Hyams,341800.0,15.0,22800.0,End of Days,66900.0
152,David Slade,341100.0,3.0,113700.0,The Twilight Saga: Eclipse,300500.0
153,D.J. Caruso,340500.0,8.0,42600.0,Eagle Eye,101400.0
154,Brenda Chapman,338700.0,2.0,169300.0,Brave,237300.0
155,Chris Williams,336600.0,2.0,168300.0,Big Hero 6,222500.0
156,John Hughes,329500.0,8.0,41200.0,Ferris Bueller's Day Off,70100.0
157,Brian Robbins,329400.0,10.0,32900.0,Norbit,95700.0
158,Luc Besson,327000.0,12.0,27300.0,Lucy,126700.0
159,Ben Stiller,324000.0,6.0,54000.0,Tropic Thunder,110500.0
160,Garth Jennings,323200.0,3.0,107700.0,Sing,270300.0
161,Lee Tamahori,322500.0,8.0,40300.0,Die Another Day,160900.0
162,Taika Waititi,321400.0,4.0,80300.0,Thor: Ragnarok,312500.0
163,Alex Proyas,321000.0,6.0,53500.0,"I, Robot",144800.0
164,Jaume Collet-Serra,311300.0,7.0,44500.0,Non-Stop,92200.0
165,Baz Luhrmann,309900.0,5.0,62000.0,The Great Gatsby,144800.0
166,Jennifer Yuh Nelson,308800.0,2.0,154400.0,Kung Fu Panda 2,165200.0
167,Nick Cassavetes,308700.0,7.0,44100.0,The Other Woman,83900.0
168,Len Wiseman,307700.0,4.0,76900.0,Live Free or Die Hard,134500.0
169,Brad Peyton,307400.0,4.0,76900.0,San Andreas,155200.0
170,Denis Villeneuve,303500.0,7.0,43400.0,Arrival,100500.0
171,Danny Boyle,300200.0,12.0,25000.0,Slumdog Millionaire,141300.0
172,Tom Hooper,299200.0,4.0,74800.0,Les Miserables,148800.0
173,Harald Zwart,297900.0,5.0,59600.0,The Karate Kid,176600.0
174,Lawrence Kasdan,297700.0,11.0,27100.0,The Big Chill,56400.0
175,Olivier Megaton,297500.0,4.0,74400.0,Taken 2,139900.0
176,Alan Taylor,296100.0,2.0,148100.0,Thor: The Dark World,206400.0
177,Bob Peterson,293000.0,1.0,293000.0,Up,293000.0
178,Michael Lembeck,291800.0,4.0,73000.0,The Santa Clause 2,139200.0
179,John Carpenter,288500.0,15.0,19200.0,Halloween,47000.0
180,Gus Van Sant,287900.0,16.0,18000.0,Good Will Hunting,138400.0
181,Alejandro González Iñárritu,287100.0,6.0,47800.0,The Revenant,183600.0
182,Randall Wallace,286200.0,4.0,71600.0,Heaven is for Real,91400.0
183,Catherine Hardwicke,285100.0,7.0,40700.0,Twilight,192800.0
184,Joseph Ruben,282700.0,9.0,31400.0,Sleeping with the Enemy,101600.0
185,Jason Reitman,282500.0,6.0,47100.0,Juno,143500.0
186,Christopher McQuarrie,281200.0,3.0,93700.0,M:I - Rogue Nation,195000.0
187,Joseph Kosinski,279400.0,3.0,93100.0,Tron Legacy,172100.0
188,Stephen Frears,278300.0,23.0,12100.0,The Queen,56400.0
189,Robert Altman,277700.0,20.0,13900.0,M.A.S.H.,81600.0
190,Tate Taylor,275800.0,4.0,69000.0,The Help,169700.0
191,Neil Jordan,275700.0,16.0,17200.0,Interview with the Vampire,105300.0
192,Robert Redford,274800.0,9.0,30500.0,Horse Whisperer,75400.0
193,Alexander Payne,274800.0,7.0,39300.0,The Descendants,82600.0
194,Steven Brill,274500.0,6.0,45800.0,Mr. Deeds,126300.0
195,Neil Burger,270400.0,5.0,54100.0,Divergent,150900.0
196,Mark Steven Johnson,269300.0,5.0,53900.0,Ghost Rider,115800.0
197,Darren Aronofsky,269200.0,7.0,38500.0,Black Swan,107000.0
198,Dan Scanlon,268500.0,1.0,268500.0,Monsters University,268500.0
199,Penelope Spheeris,263100.0,5.0,52600.0,Wayne's World,121700.0
300,Larry Charles,261800.0,5.0,52400.0,Borat,128500.0
301,Anthony Minghella,261200.0,6.0,43500.0,Cold Mountain,95600.0
302,Ben Affleck,258899.99999999997,4.0,64700.0,Argo,136000.0
303,John Madden,257500.0,11.0,23400.0,Shakespeare in Love,100300.0
304,Warren Beatty,255900.0,5.0,51200.0,Dick Tracy,103700.0
305,Gary Winick,255200.0,7.0,36500.0,Charlotte's Web,83000.0
306,Frank Marshall,252600.0,4.0,63100.0,Eight Below,81600.0
307,Charles Shyer,249700.0,7.0,35700.0,Father of the Bride,89300.0
308,Don Hall,249200.0,2.0,124600.0,Big Hero 6,222500.0
309,Michael Patrick King,248000.0,2.0,124000.0,Sex and the City,152600.0
310,Gabriele Muccino,247900.0,5.0,49600.0,The Pursuit of Happyness,163600.0
311,Stephen Hopkins,247900.0,9.0,27500.0,Lost in Space,69100.0
312,Dean Parisot,245600.0,4.0,61400.0,Fun with Dick and Jane,110300.0
313,Ken Kwapis,244000.0,9.0,27100.0,He's Just Not That Into You,94000.0
314,Ron Underwood,243200.0,7.0,34700.0,City Slickers,124000.0
315,Brian Helgeland,242600.0,5.0,48500.0,42,95000.0
316,John Moore,242500.0,5.0,48500.0,A Good Day to Die Hard,67300.0
317,Steve Oedekerk,241500.0,4.0,60400.0,When Nature Calls,108400.0
318,Robert Stromberg,241400.0,1.0,241400.0,Maleficent,241400.0
319,Stanley Kubrick,241200.0,7.0,34500.0,2001: A Space Odyssey,57000.0
320,Neill Blomkamp,240300.0,3.0,80100.0,District 9,115600.0
321,Joe Wright,237600.0,7.0,33900.0,Atonement,50900.0
