,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
0,Keane,2004,5,USA,Drama,R,100,9/9/2005,Lodge Kerrigan,"['Damian Lewis', ' Abigail Breslin', ' Amy Ryan']",English,7.0,33256.0
1,Keanu,2016,2681,USA,Action,R,100,4/29/2016,Peter Atencio,"['Jordan Peele', ' Keegan-Michael Key', ' Tiffany Haddish']",English,6.3,20591853.0
2,Kedi,2016,130,Turkey,Documentary,Unrated,79,2/10/2017,Ceyda Torun,['Bülent Üstün'],Turkish,7.8,2833336.0
3,Kedma,2002,2,Italy,Drama,,100,1/27/2003,Amos Gitai,"['Andrei Kashkar', ' Helena Yaralova', ' Yussuf Abu-Warda']",Hebrew,6.0,10067.0
5,Keep on Keepin' On,2014,9,USA,Documentary,R,84,9/19/2014,Alan Hicks,"['Candy', ' Terri Lyne Carrington', ' Quincy Cavers']",English,7.7,163745.0
6,Keep Quiet,2016,3,UK,Documentary,,90,2/17/2017,Sam Blair,['Csanad Szegedi'],English,6.5,50451.0
7,Keep the Lights On,2012,10,USA,Drama,Unrated,101,9/7/2012,Ira Sachs,"['Thure Lindhardt', ' Zachary Booth', ' Marilyn Neimark']",English,6.2,246112.0
8,Keep the River on Your Right: A Modern Cannibal Tale,2000,15,USA,Documentary,R,93,3/30/2001,David Shapiro,"['Tobias Schneebaum', ' Norman Mailer', ' Michael Nelson Rockefeller']",English,6.8,373366.0
9,Keep Watching,2017,805,USA,Horror,R,89,10/31/2017,Sean Carter,"['Bella Thorne', ' Ioan Gruffudd', ' Chandler Riggs']",English,5.6,94178.0
11,The Keeper: The Legend of Omar Khayyam,2005,5,USA,Adventure,PG,95,6/10/2005,Kayvan Mashayekh,"['Adam Echahly', ' Bruno Lastra', ' Moritz Bleibtreu']",Persian,6.9,225863.0
12,Keeping Mum,2005,79,UK,Comedy,R,99,9/15/2006,Niall Johnson,"['Rowan Atkinson', ' Kristin Scott Thomas', ' Maggie Smith']",English,6.8,1619466.0
13,The Keeping Room,2014,10,USA,Drama,R,95,9/25/2015,Daniel Barber,"['Brit Marling', ' Hailee Steinfeld', ' Muna Otaru']",English,6.0,27166.0
