,Unnamed: 0,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
1,1,Keanu,2016,2681,USA,Action,Rated,100,4/29/2016,Peter Atencio,"['Jordan Peele', ' Keegan-Michael Key', ' Tiffany Haddish']",English,6.3,20591853.0
2,2,Kedi,2016,130,Turkey,Documentary,Unrated,79,2/10/2017,Ceyda Torun,['Bülent Üstün'],Turkish,7.8,2833336.0
4,5,Keep on Keepin' On,2014,9,USA,Documentary,Rated,84,9/19/2014,Alan Hicks,"['Candy', ' Terri Lyne Carrington', ' Quincy Cavers']",English,7.7,163745.0
5,6,Keep Quiet,2016,3,UK,Documentary,Rated,90,2/17/2017,Sam Blair,['Csanad Szegedi'],English,6.5,50451.0
6,7,Keep the Lights On,2012,10,USA,Drama,Unrated,101,9/7/2012,Ira Sachs,"['Thure Lindhardt', ' Zachary Booth', ' Marilyn Neimark']",English,6.2,246112.0
8,9,Keep Watching,2017,805,USA,Horror,Rated,89,10/31/2017,Sean Carter,"['Bella Thorne', ' Ioan Gruffudd', ' Chandler Riggs']",English,5.6,94178.0
11,13,The Keeping Room,2014,10,USA,Drama,Rated,95,9/25/2015,Daniel Barber,"['Brit Marling', ' Hailee Steinfeld', ' Muna Otaru']",English,6.0,27166.0
13,15,Keeping Up with the Joneses,2016,3022,USA,Action,Rated,105,10/21/2016,Greg Mottola,"['Zach Galifianakis', ' Isla Fisher', ' Jon Hamm']",Mandarin,5.8,14904426.0
15,17,Keith Lemon: The Film,2012,0,UK,Comedy,Rated,85,8/24/2012,Paul Angunawela,"['Leigh Francis', ' Kelly Brook', ' Laura Aikman']",English,2.6,0.0
16,19,Kelly & Cal,2014,6,USA,Comedy,Rated,111,9/5/2014,Jen McGowan,"['Juliette Lewis', ' Jonny Weston', ' Josh Hopkins']",English,6.2,17702.0
19,24,Kevin Hart: Laugh at My Pain,2011,287,USA,Documentary,Rated,89,9/9/2011,Leslie Small,"['Kevin Hart', ' Taraji P. Henson', "" Will 'Spank' Horton""]",English,7.5,7706436.0
20,25,Kevin Hart: Let Me Explain,2013,892,USA,Documentary,Rated,75,7/3/2013,Leslie Small,"['Kevin Hart', ' Harry Ratchford', "" Will 'Spank' Horton""]",English,6.8,32244051.0
21,26,Kevin Hart: What Now?,2016,2567,USA,Documentary,Rated,96,10/14/2016,Leslie Small,"['Kevin Hart', ' Halle Berry', ' Don Cheadle']",English,5.8,23591043.0
22,27,Keyhole,2011,7,Canada,Drama,Rated,94,4/6/2012,Guy Maddin,"['Jason Patric', ' Isabella Rossellini', ' Udo Kier']",English,5.5,22826.0
27,33,Khatta Meetha,2010,83,India,Action,Rated,157,7/23/2010,Priyadarshan,"['Akshay Kumar', ' Johnny Lever', ' Rajpal Yadav']",Hindi,5.7,541904.0
30,36,Khiladi 786,2012,115,India,Action,Unrated,141,12/7/2012,Ashish R. Mohan,"['Akshay Kumar', ' Naushaad Abbas', ' Asin']",Hindi,4.4,379466.0
31,37,Khodorkovsky,2011,2,Germany,Documentary,Unrated,111,11/30/2011,Cyril Tuschi,"['Mikhail Khodorkovsky', ' Pavel Khodorkovsky', ' Marina Khodorkovskaya']",Russian,7.0,39522.0
32,38,Khoobsurat,2014,61,India,Comedy,Rated,130,9/19/2014,Shashanka Ghosh,"['Sonam Kapoor', ' Fawad Khan', ' Ratna Pathak Shah']",Hindi,6.4,710508.0
34,40,Khumba,2013,2,South Africa,Animation,Unrated,85,12/6/2013,Anthony Silverston,"['Jake T. Austin', ' Adrian Rhodes', ' Sam Riegel']",English,5.7,1029.0
36,42,Khushiyaan,2011,26,India,Family,Rated,135,10/14/2011,Tirlok Malik,"['Jasbir Jassi', ' Tisca Chopra', ' Kulbhushan Kharbanda']",Panjabi,6.9,0.0
37,43,Ki & Ka,2016,148,India,Comedy,Rated,126,4/1/2016,R. Balki,"['Amitabh Bachchan', ' Kareena Kapoor Khan', ' Arjun Kapoor']",Hindi,5.8,857986.0
38,44,Kick,2014,180,India,Action,Unrated,146,7/25/2014,Sajid Nadiadwala,"['Salman Khan', ' Jacqueline Fernandez', ' Nawazuddin Siddiqui']",Hindi,5.5,2472695.0
39,45,Kick-Ass,2010,3065,UK,Action,Rated,117,4/16/2010,Matthew Vaughn,"['Aaron Taylor-Johnson', ' Garrett M. Brown', ' Evan Peters']",English,7.7,48071303.0
