,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Total Gross,Actorinfluenceaverage,Actorinfluencemax,googletrends,Average Gross for each movie
0,Keanu,2016,2681,USA,Action,Rated,100,2016-04-29,English,6.3,20591853.0,55700.0,55700.0,642.0,
1,Kedi,2016,130,Turkey,Documentary,Unrated,79,2017-02-10,Turkish,7.8,2833336.0,0.0,0.0,999.0,
2,Keep on Keepin' On,2014,9,USA,Documentary,Rated,84,2014-09-19,English,7.7,163745.0,0.0,0.0,209.0,
3,Keep Quiet,2016,3,UK,Documentary,Rated,90,2017-02-17,English,6.5,50451.0,0.0,0.0,398.0,
4,Keep the Lights On,2012,10,USA,Drama,Unrated,101,2012-09-07,English,6.2,246112.0,0.0,0.0,743.0,
5,Keep Watching,2017,805,USA,Horror,Rated,89,2017-10-31,English,5.6,94178.0,40750.0,42100.0,775.0,
6,The Keeping Room,2014,10,USA,Drama,Rated,95,2015-09-25,English,6.0,27166.0,21250.0,40000.0,1701.0,
7,Keeping Up with the Joneses,2016,3022,USA,Action,Rated,105,2016-10-21,Mandarin,5.8,14904426.0,66833.33333333331,77100.0,442.0,38400.0
8,Keith Lemon: The Film,2012,0,UK,Comedy,Rated,85,2012-08-24,English,2.6,0.0,0.0,0.0,1066.0,
9,Kelly & Cal,2014,6,USA,Comedy,Rated,111,2014-09-05,English,6.2,17702.0,0.0,0.0,342.0,
10,Kevin Hart: Laugh at My Pain,2011,287,USA,Documentary,Rated,89,2011-09-09,English,7.5,7706436.0,61850.0,69000.0,316.0,
11,Kevin Hart: Let Me Explain,2013,892,USA,Documentary,Rated,75,2013-07-03,English,6.8,32244051.0,69000.0,69000.0,526.0,
12,Kevin Hart: What Now?,2016,2567,USA,Documentary,Rated,96,2016-10-14,English,5.8,23591043.0,72633.33333333331,84900.0,0.0,
13,Keyhole,2011,7,Canada,Drama,Rated,94,2012-04-06,English,5.5,22826.0,0.0,0.0,702.0,
14,Khatta Meetha,2010,83,India,Action,Rated,157,2010-07-23,Hindi,5.7,541904.0,0.0,0.0,759.0,
15,Khiladi 786,2012,115,India,Action,Unrated,141,2012-12-07,Hindi,4.4,379466.0,0.0,0.0,996.0,
16,Khodorkovsky,2011,2,Germany,Documentary,Unrated,111,2011-11-30,Russian,7.0,39522.0,0.0,0.0,612.0,
17,Khoobsurat,2014,61,India,Comedy,Rated,130,2014-09-19,Hindi,6.4,710508.0,0.0,0.0,622.0,
18,Khumba,2013,2,South Africa,Animation,Unrated,85,2013-12-06,English,5.7,1029.0,0.0,0.0,0.0,
19,Khushiyaan,2011,26,India,Family,Rated,135,2011-10-14,Panjabi,6.9,0.0,0.0,0.0,0.0,
20,Ki & Ka,2016,148,India,Comedy,Rated,126,2016-04-01,Hindi,5.8,857986.0,0.0,0.0,1194.0,
