,Title,Theaters,Country,Genre,Rated,Runtime,Open,Director,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num,googletrends,Actorinfluenceave,Total Gross(Million),Movie involved,Average Gross for each movie
0,Keeping Up with the Joneses,3022,USA,Action,Rated,105,2016-10-21,Greg Mottola,Mandarin,5.8,14904426.0,11149116327.0,2953177273.0,46,442.0,66833.33333333331,191900.0,5.0,38400.0
1,Adventureland,1876,USA,Comedy,Rated,107,2009-04-03,Greg Mottola,English,6.8,16044025.0,9750709587.0,2099450726.0,32,495.0,45300.0,191900.0,5.0,38400.0
2,Kick-Ass,3065,UK,Action,Rated,117,2010-04-16,Matthew Vaughn,English,7.7,48071303.0,10639535233.0,2041030428.0,30,909.0,0.0,464000.0,6.0,77300.0
3,Kingsman: The Golden Circle,4038,UK,Action,Rated,141,2017-09-22,Matthew Vaughn,English,7.2,99121408.0,11216236720.0,2297451379.0,47,594.0,86000.0,464000.0,6.0,77300.0
4,Kingsman: The Secret Service,3282,UK,Action,Rated,129,2015-02-13,Matthew Vaughn,English,7.7,128261724.0,10354970864.0,2268082751.0,31,724.0,35150.0,464000.0,6.0,77300.0
5,Kick-Ass 2,2945,USA,Action,Rated,103,2013-08-16,Jeff Wadlow,English,6.6,28795985.0,11041914748.0,2219810902.0,44,1360.0,43200.0,63700.0,3.0,21200.0
6,Never Back Down,2729,USA,Action,Rated,110,2008-03-14,Jeff Wadlow,English,6.6,24850922.0,9767268194.0,1481747614.0,32,841.0,31950.0,63700.0,3.0,21200.0
7,Kid Cannabis,1,USA,Biography,Unrated,110,2014-04-18,John Stockwell,English,6.4,5565.0,10893180888.0,,33,416.0,16100.000000000002,83200.0,5.0,16600.0
8,The Kids Are All Right,994,USA,Comedy,Rated,106,2010-07-09,Lisa Cholodenko,English,7.1,20811365.0,10639535233.0,1435263724.0,31,523.0,38100.0,26400.0,3.0,8800.0
9,Kill the Messenger,427,USA,Biography,Rated,112,2014-10-10,Michael Cuesta,English,7.0,2450846.0,10893180888.0,,56,359.0,114500.0,39900.0,5.0,8000.0
