Date	Price	Open	High	Low	Vol.	Change %
"Nov 22, 2017"	"7,419.02"	"7,411.34"	"7,460.91"	"7,410.38"	859.39M	0.1
"Nov 21, 2017"	"7,411.34"	"7,389.46"	"7,422.18"	"7,367.86"	753.29M	0.3
"Nov 20, 2017"	"7,389.46"	"7,380.68"	"7,397.39"	"7,350.37"	738.28M	0.12
"Nov 17, 2017"	"7,380.68"	"7,386.94"	"7,406.53"	"7,356.16"	731.96M	-0.08
"Nov 16, 2017"	"7,386.94"	"7,372.61"	"7,393.28"	"7,368.14"	926.68M	0.19
"Nov 15, 2017"	"7,372.61"	"7,414.42"	"7,415.09"	"7,357.06"	919.47M	-0.56
"Nov 14, 2017"	"7,414.42"	"7,415.18"	"7,436.57"	"7,396.92"	1.18B	-0.01
"Nov 13, 2017"	"7,415.18"	"7,432.99"	"7,469.30"	"7,402.95"	759.79M	-0.24
"Nov 10, 2017"	"7,432.99"	"7,484.10"	"7,500.29"	"7,421.73"	694.70M	-0.68
"Nov 09, 2017"	"7,484.10"	"7,529.72"	"7,532.20"	"7,476.89"	860.71M	-0.61
"Nov 08, 2017"	"7,529.72"	"7,513.11"	"7,534.49"	"7,504.77"	807.97M	0.22
"Nov 07, 2017"	"7,513.11"	"7,562.28"	"7,582.85"	"7,507.83"	747.48M	-0.65
"Nov 06, 2017"	"7,562.28"	"7,560.35"	"7,572.90"	"7,544.20"	632.91M	0.03
"Nov 03, 2017"	"7,560.35"	"7,555.32"	"7,580.95"	"7,541.91"	672.31M	0.07
"Nov 02, 2017"	"7,555.32"	"7,487.96"	"7,562.26"	"7,478.88"	1.03B	0.9
"Nov 01, 2017"	"7,487.96"	"7,493.08"	"7,532.36"	"7,487.96"	1.21B	-0.07
"Oct 31, 2017"	"7,493.08"	"7,487.81"	"7,516.85"	"7,483.97"	730.56M	0.07
"Oct 30, 2017"	"7,487.81"	"7,505.03"	"7,507.02"	"7,478.41"	749.41M	-0.23
"Oct 27, 2017"	"7,505.03"	"7,486.50"	"7,520.76"	"7,485.24"	870.03M	0.25
"Oct 26, 2017"	"7,486.50"	"7,447.21"	"7,488.26"	"7,440.11"	1.02B	0.53
"Oct 25, 2017"	"7,447.21"	"7,526.54"	"7,528.46"	"7,437.42"	922.39M	-1.05
"Oct 24, 2017"	"7,526.54"	"7,524.45"	"7,535.22"	"7,508.50"	676.61M	0.03
"Oct 23, 2017"	"7,524.45"	"7,523.23"	"7,542.00"	"7,511.77"	565.83M	0.02
